name,position,team,ktcValue,value
Josh Allen,QB,BUF,9997,115
Bijan Robinson,RB,ATL,9991,115
Ja'Marr Chase,WR,CIN,9962,114
Jaxon Smith-Njigba,WR,SEA,9828,112
Jahmyr Gibbs,RB,DET,9658,110
Drake Maye,QB,NEP,9379,106
Brock Bowers,TE,LVR,8901,99
Puka Nacua,WR,LAR,8614,95
Trey McBride,TE,ARI,8367,91
Caleb Williams,QB,CHI,7942,86
Amon-Ra St. Brown,WR,DET,7847,85
Jayden Daniels,QB,WAS,7839,85
Justin Jefferson,WR,MIN,7790,84
Malik Nabers,WR,NYG,7665,84
Lamar Jackson,QB,BAL,7656,84
Jeremiyah Love,RB,RARI,7651,84
Ashton Jeanty,RB,LVR,7575,83
Joe Burrow,QB,CIN,7435,82
CeeDee Lamb,WR,DAL,7260,81
Drake London,WR,ATL,6945,79
De'Von Achane,RB,MIA,6909,79
Justin Herbert,QB,LAC,6849,79
Omarion Hampton,RB,LAC,6803,79
Colston Loveland,TE,CHI,6790,78
Patrick Mahomes,QB,KCC,6685,78
Jaxson Dart,QB,NYG,6605,77
Tetairoa McMillan,WR,CAR,6555,77
Tyler Warren,TE,IND,6420,76
Trevor Lawrence,QB,JAC,6383,76
Jalen Hurts,QB,PHI,6170,74
Emeka Egbuka,WR,TBB,6094,70
Bo Nix,QB,DEN,6051,68
Jonathan Taylor,RB,IND,6007,65
James Cook,RB,BUF,5983,64
Carnell Tate,WR,RTEN,5926,61
George Pickens,WR,DAL,5890,60
Brock Purdy,QB,SFO,5843,57
Garrett Wilson,WR,NYJ,5694,51
Fernando Mendoza,QB,RLVR,5622,49
Jordan Love,QB,GBP,5615,49
Nico Collins,WR,HOU,5591,48
Quinshon Judkins,RB,CLE,5530,46
Chris Olave,WR,NOS,5499,45
Harold Fannin,TE,CLE,5471,45
Tucker Kraft,TE,GBP,5469,44
Rome Odunze,WR,CHI,5462,44
Cam Ward,QB,TEN,5444,44
Ladd McConkey,WR,LAC,5431,44
Jordyn Tyson,WR,RNOS,5427,44
Breece Hall,RB,NYJ,5422,44
Kenneth Walker III,RB,KCC,5414,44
TreVeyon Henderson,RB,NEP,5402,43
Luther Burden,WR,CHI,5306,42
DeVonta Smith,WR,PHI,5250,41
Sam LaPorta,TE,DET,5088,38
Makai Lemon,WR,RPHI,5060,38
Marvin Harrison Jr.,WR,ARI,5060,38
Christian McCaffrey,RB,SFO,5019,37
Kyle Pitts,TE,ATL,4987,36
Chase Brown,RB,CIN,4986,36
Dak Prescott,QB,DAL,4964,36
Tyler Shough,QB,NOS,4932,36
Tee Higgins,WR,CIN,4921,35
Saquon Barkley,RB,PHI,4919,35
CJ Stroud,QB,HOU,4881,35
Kyren Williams,RB,LAR,4860,34
AJ Brown,WR,PHI,4846,34
Brian Thomas Jr.,WR,JAC,4831,34
Jadarian Price,RB,RSEA,4829,34
Jaylen Waddle,WR,DEN,4820,34
Baker Mayfield,QB,TBB,4813,34
Bucky Irving,RB,TBB,4811,34
Zay Flowers,WR,BAL,4806,33
Cam Skattebo,RB,NYG,4722,32
Jared Goff,QB,DET,4670,31
Jameson Williams,WR,DET,4665,31
Kenyon Sadiq,TE,RNYJ,4651,31
Sam Darnold,QB,SEA,4633,31
Javonte Williams,RB,DAL,4541,29
Travis Etienne,RB,NOS,4517,29
KC Concepcion,WR,RCLE,4490,28
Rashee Rice,WR,KCC,4486,28
Bryce Young,QB,CAR,4473,28
Eli Stowers,TE,RPHI,4188,23
Oronde Gadsden,TE,LAC,4107,22
Kyler Murray,QB,MIN,4095,22
Alec Pierce,WR,IND,4074,21
Jordan Addison,WR,MIN,4030,20
Malik Willis,QB,MIA,3968,20
Daniel Jones,QB,IND,3951,20
Derrick Henry,RB,BAL,3943,19
Bhayshul Tuten,RB,JAC,3926,19
Isaiah Likely,TE,NYG,3827,18
Omar Cooper Jr.,WR,RNYJ,3822,18
Christian Watson,WR,GBP,3746,17
Matthew Stafford,QB,LAR,3735,17
DJ Moore,WR,BUF,3705,17
Matthew Golden,WR,GBP,3704,17
Dalton Kincaid,TE,BUF,3693,17
George Kittle,TE,SFO,3674,17
Ty Simpson,QB,RLAR,3672,17
Kyle Monangai,RB,CHI,3665,17
Jake Ferguson,TE,DAL,3656,17
Michael Wilson,WR,ARI,3634,16
Josh Downs,WR,IND,3599,16
Wan'Dale Robinson,WR,TEN,3580,16
Josh Jacobs,RB,GBP,3556,16
Parker Washington,WR,JAC,3556,16
D'Andre Swift,RB,CHI,3550,16
DK Metcalf,WR,PIT,3520,15
Jayden Reed,WR,GBP,3474,15
Ricky Pearsall,WR,SFO,3458,14
Terry McLaurin,WR,WAS,3456,14
Denzel Boston,WR,RCLE,3439,14
RJ Harvey,RB,DEN,3434,14
Brenton Strange,TE,JAC,3428,14
Jayden Higgins,WR,HOU,3382,13
Zach Charbonnet,RB,SEA,3373,13
David Montgomery,RB,HOU,3373,13
Travis Hunter,WR,JAC,3365,13
Xavier Worthy,WR,KCC,3360,13
Michael Pittman,WR,PIT,3358,13
Quentin Johnston,WR,LAC,3354,13
Chuba Hubbard,RB,CAR,3329,13
Mike Evans,WR,SFO,3293,12
Davante Adams,WR,LAR,3282,12
Blake Corum,RB,LAR,3276,12
Romeo Doubs,WR,NEP,3218,11
Jonathon Brooks,RB,CAR,3215,11
TJ Hockenson,TE,MIN,3200,11
Rico Dowdle,RB,PIT,3199,11
AJ Barner,TE,SEA,3196,11
Mark Andrews,TE,BAL,3175,10
Jaylen Warren,RB,PIT,3171,10
Michael Penix Jr.,QB,ATL,3163,10
Jonah Coleman,RB,RDEN,3152,10
Chigoziem Okonkwo,TE,WAS,3150,10
Courtland Sutton,WR,DEN,3148,10
Jakobi Meyers,WR,JAC,3127,10
Gunnar Helm,TE,TEN,3083,9
Jalen Coker,WR,CAR,3065,9
Terrance Ferguson,TE,LAR,3031,8
Khalil Shakir,WR,BUF,2996,8
Chris Bell,WR,RMIA,2988,8
