name,position,team,ktcValue,value
Ja'Marr Chase,WR,CIN,9998,84
Jahmyr Gibbs,RB,DET,9995,84
Bijan Robinson,RB,ATL,9993,84
Josh Allen,QB,BUF,9965,83
Jaxon Smith-Njigba,WR,SEA,9290,74
Brock Bowers,TE,LVR,9132,72
Drake Maye,QB,NEP,9005,71
Puka Nacua,WR,LAR,8928,70
Trey McBride,TE,ARI,8101,59
Amon-Ra St. Brown,WR,DET,7905,56
Caleb Williams,QB,CHI,7887,56
Lamar Jackson,QB,BAL,7618,53
Ashton Jeanty,RB,LVR,7617,53
Jayden Daniels,QB,WAS,7561,52
Justin Jefferson,WR,MIN,7429,51
Malik Nabers,WR,NYG,7415,50
Joe Burrow,QB,CIN,7390,50
Jeremiyah Love,RB,ARI,7379,50
CeeDee Lamb,WR,DAL,7157,47
Omarion Hampton,RB,LAC,7000,45
Colston Loveland,TE,CHI,6992,45
Justin Herbert,QB,LAC,6975,45
Drake London,WR,ATL,6974,45
De'Von Achane,RB,MIA,6845,43
Tyler Warren,TE,IND,6675,41
Emeka Egbuka,WR,TBB,6337,37
Patrick Mahomes,QB,KCC,6322,37
Tetairoa McMillan,WR,CAR,6318,37
Jonathan Taylor,RB,IND,6303,37
James Cook,RB,BUF,6275,37
Trevor Lawrence,QB,JAC,6243,36
Jaxson Dart,QB,NYG,6216,36
George Pickens,WR,DAL,6143,35
Jalen Hurts,QB,PHI,6023,34
Bo Nix,QB,DEN,5985,33
Carnell Tate,WR,TEN,5968,33
Chris Olave,WR,NOS,5627,29
Kenneth Walker III,RB,KCC,5593,29
Nico Collins,WR,HOU,5591,29
DeVonta Smith,WR,PHI,5577,29
Ladd McConkey,WR,LAC,5565,28
Brock Purdy,QB,SFO,5559,28
Garrett Wilson,WR,NYJ,5530,28
Luther Burden,WR,CHI,5499,28
Tucker Kraft,TE,GBP,5481,28
Chase Brown,RB,CIN,5480,28
Quinshon Judkins,RB,CLE,5446,27
Jordan Love,QB,GBP,5434,27
Zay Flowers,WR,BAL,5385,26
Jordyn Tyson,WR,NOS,5369,26
Harold Fannin,TE,CLE,5369,26
Fernando Mendoza,QB,LVR,5301,26
Breece Hall,RB,NYJ,5282,25
